x,y,ab_diff,step_time,hyp_count
-4.9238,4.9238,95.5254,0.0001,20
-4.9238,4.9238,95.5254,0.0001,24
4.6288,0.0000,92.3399,0.0115,76
-4.2346,1.2891,92.2765,0.0039,84
3.5689,1.5767,72.6603,0.0260,116
3.1781,1.9674,67.8186,0.0506,152
-0.8968,0.3738,35.4419,0.8179,328
-0.3454,-0.2043,22.6505,4.2805,596
-0.0531,-0.1579,4.8044,18.2617,1500
0.0476,0.0644,0.7667,12.1829,2108
-0.0148,-0.0242,0.3631,0.5610,2136
-0.0111,0.0057,0.2362,0.3982,2156
-0.0083,0.0056,0.2273,0.0801,2160
-0.0022,-0.0003,0.1030,1.2833,2224
0.0014,-0.0013,0.0321,3.8056,2412
0.0001,0.0016,0.0279,0.5758,2440
0.0007,0.0009,0.0200,2.8310,2576
0.0002,0.0005,0.0140,2.0383,2672
-0.0002,0.0000,0.0112,0.4293,2692
-0.0002,0.0000,0.0095,1.0123,2736
