x,y,diff,time
-9.994947029,-9.994947029,17.2919271,0.005
-0.998729421,9.987280857,15.16748288,0.002
-2.979223887,2.979223856,9.001093478,0.006999969
-0.968477705,-0.968477704,3.574451877,0.002000093
1.70E-08,1.02E-08,5.61E-08,0.004999876
-1.41E-08,-1.15E-08,5.16E-08,0.021000147
-1.16E-09,5.07E-09,1.47E-08,0.004999876
-2.20E-09,3.52E-09,1.17E-08,0.305999994
2.02E-09,-3.22E-09,1.08E-08,0.138000011
-3.01E-09,2.58E-10,8.56E-09,0.280999899
1.74E-09,-1.90E-09,7.28E-09,0.084000111
1.11E-09,-2.22E-09,7.02E-09,0.065999985
1.60E-09,1.25E-09,5.74E-09,0.017999887
