x,y,diff,time
-12.56009041,-8.876983979,0.059178179,0.008
-12.56009041,8.876957676,0.059178178,0
9.420067885,4.438364231,0.027125386,0.007999897
-3.140022633,4.43837819,0.007396041,0
3.140022633,4.438384423,0.007396041,0.002000093
-1.59E-39,9.21E-05,2.12E-09,0.000999928
-5.65E-40,-7.73E-05,1.49E-09,0.002000093
-3.69E-41,5.55E-05,7.72E-10,0.004999876
1.15E-41,5.21E-05,6.79E-10,0.017000198
-1.25E-42,-5.20E-05,6.78E-10,0.019999981
3.38E-40,5.08E-05,6.47E-10,0.030999899
1.78E-42,5.03E-05,6.33E-10,0.562999964
-4.73E-42,-5.01E-05,6.27E-10,0.944000006
-3.73E-41,-4.99E-05,6.24E-10,0.338000059
-1.36E-42,4.99E-05,6.24E-10,1.612999916
-5.66E-42,-4.99E-05,6.23E-10,2.309999943
-5.35E-42,-4.99E-05,6.22E-10,0.832000017
